# r(Angstrom)  g(r)
# Cleaned from: data/g_exp_150C_raw.dat
# Issues fixed: Duplicates: 1 r values, Not sorted
1.5104333868  0.1935018984
1.5260388800  0.4219858247
1.5272873194  0.2662020388
1.5401284109  0.3571340598
1.5447654717  0.3130824908
1.6147672552  0.3325585142
1.6340288925  0.3992621774
1.6589085072  0.4773116397
1.6622525415  0.5439025073
1.7070626003  0.4829762934
1.7213304798  0.6117548853
1.7391653291  0.5430415792
1.8000267523  0.6252880800
1.8006955591  0.5982708771
1.8738184412  0.5561910233
1.9530261543  0.5739281563
1.9959871589  0.5484441506
2.0441412520  0.5635788047
2.0779637698  0.5271251521
2.1664373615  0.5210200184
2.2490321971  0.5131971290
2.2840199750  0.4772322715
2.3250401284  0.4799782381
2.3375245229  0.5924128150
2.3509692555  0.5203115057
2.3972712681  0.5419280158
2.4197431782  0.6084918020
2.4373996790  0.6805507695
2.4598715891  1.0466755155
2.4695024077  0.7757996217
2.4855537721  0.6817469749
2.4919743178  1.2072215706
2.5016051364  0.9151668556
2.5089012111  1.1082105395
2.5176565008  0.7754661069
2.5345104334  1.3217479781
2.5377207063  1.4695573913
2.5497592295  0.9124544697
2.5543453336  1.3556407978
2.5658105939  1.1042888525
2.5698234350  1.6684447926
2.5761293281  1.5778333524
2.5791867309  1.7337402766
2.6059390048  1.3330735276
2.6110983719  1.8240467849
2.6112894596  1.9300235111
2.6219903692  1.9820965551
2.6440609952  2.0383653975
2.6500802568  2.1275022379
2.6730107773  2.1925385685
2.6781701445  2.2560809977
2.7045402431  2.3207305502
2.7182985554  2.4117715793
2.7391653291  2.4859261946
2.7557517389  2.5393931521
2.7744783307  2.6037448039
2.8210272873  2.6722897889
2.8698423190  2.7187784848
2.9405482158  2.7269429334
2.9751203852  2.6620418264
3.0013862542  2.6036176780
3.0232744783  2.5534002655
3.0516730461  2.4935351821
3.0690208668  2.4454647950
3.1048689139  2.3909070886
3.1226694654  2.3200291228
3.1567926456  2.2495955589
3.1650615302  2.2125839867
3.1911449973  2.1450375389
3.2199036918  2.0569361793
3.2399678973  2.1497715767
3.2463884430  1.9706138718
3.2745400667  1.8978892218
3.2961476726  1.9742367885
3.3084537186  1.8342264820
3.3443017657  1.7722851002
3.3764044944  1.7155519067
3.3998641808  1.6583004404
3.4486356340  1.6663978578
3.4626805778  1.6121475742
3.5208667737  1.5519053278
3.5703584805  1.4839948733
3.6171749599  1.4283384984
3.6724105372  1.3859812019
3.7492900358  1.3650869122
3.8418940610  1.3306176268
3.9301765650  1.3109086139
4.0184590690  1.2945209324
4.1122978145  1.2710634451
4.1950240770  1.2574359902
4.2833065811  1.2722947533
4.3715890851  1.2915871036
4.4523809524  1.3083907207
4.5481540931  1.3304879811
4.6364365971  1.3473528110
4.7247191011  1.3654856438
4.8130016051  1.3897267780
4.9012841091  1.4189519906
4.9834518077  1.4617700910
5.0698234350  1.4942386168
5.1581059390  1.5225718394
5.2463884430  1.5449067202
5.3346709470  1.5746298723
5.4229534510  1.5944986427
5.5112359551  1.6045734745
5.5919943820  1.6151832901
5.6878009631  1.6277549152
5.7760834671  1.6246976533
5.8643659711  1.6143443888
5.9526484751  1.6007643164
6.0409309791  1.5880373840
6.1292134831  1.5765945840
6.2174959872  1.5570192916
6.3057784912  1.5320946610
6.3940609952  1.5106932432
6.4787319422  1.4998290266
6.5581861958  1.4743825123
6.6445769319  1.4710683834
6.7291332263  1.4612446206
6.8142627838  1.4526992236
6.9050294275  1.4493306662
6.9933119315  1.4428873517
7.0842696629  1.4428009763
7.1731695271  1.4331280479
7.2626867515  1.4329649273
7.3456775969  1.4392132020
7.4373996790  1.4509035070
7.5256821830  1.4630603713
7.6182862082  1.4614403946
7.7056264256  1.4556924139
7.7905296950  1.4761100274
7.8744906779  1.4968869036
7.9666722987  1.4954585183
8.0529695024  1.5078339951
8.1445514535  1.5200140831
8.2289325843  1.5282185191
8.3150653520  1.5377020767
8.4102270122  1.5409358957
8.4924682060  1.5481798164
8.5844548710  1.5467868629
8.6733547352  1.5464334745
8.7659587603  1.5396698033
8.8499197432  1.5364835500
8.9382022472  1.5263947780
9.0315008026  1.5071568549
9.1174424826  1.4960343327
9.2055841852  1.4880398494
9.2886570358  1.4797839661
9.3805065097  1.4718872829
9.4716425896  1.4684464774
9.5561797753  1.4704356213
9.6444622793  1.4693813911
9.7383010248  1.4615529062
9.8175877092  1.4587886319
9.9151952916  1.4604453253
9.9917067951  1.4623403667
10.0824352213  1.4682695477
10.1707177253  1.4729456115
10.2639446228  1.4763577636
10.3489388265  1.4810673024
10.4397691661  1.4867258785
10.5257825040  1.4974326190
10.6155698234  1.5081953861
10.7049224184  1.5038367405
10.7930265739  1.5075642197
10.8741751382  1.5099730284
10.9686998395  1.5174384429
11.0640638278  1.5105553457
11.1377407705  1.5113816242
11.2397895488  1.5059616521
11.3256314945  1.5008784791
11.4067683253  1.5061983979
11.4967052463  1.4950572150
11.5833333333  1.5003361826
11.6768707483  1.4887949048
11.7618260787  1.4880746229
11.8515248796  1.4804883657
11.9337881220  1.4795331278
