# Q(A^-1)  S(Q)
0.100000 0.121317
0.129860 0.115828
0.159719 0.109180
0.189579 0.101552
0.219439 0.093162
0.249299 0.084254
0.279158 0.075093
0.309018 0.065958
0.338878 0.057128
0.368737 0.048868
0.398597 0.041417
0.428457 0.034973
0.458317 0.029680
0.488176 0.025622
0.518036 0.022815
0.547896 0.021207
0.577756 0.020681
0.607615 0.021070
0.637475 0.022165
0.667335 0.023735
0.697194 0.025547
0.727054 0.027383
0.756914 0.029060
0.786774 0.030444
0.816633 0.031457
0.846493 0.032084
0.876353 0.032369
0.906212 0.032404
0.936072 0.032323
0.965932 0.032274
0.995792 0.032410
1.025651 0.032867
1.055511 0.033745
1.085371 0.035101
1.115230 0.036939
1.145090 0.039212
1.174950 0.041831
1.204810 0.044670
1.234669 0.047595
1.264529 0.050471
1.294389 0.053193
1.324248 0.055695
1.354108 0.057969
1.383968 0.060068
1.413828 0.062111
1.443687 0.064267
1.473547 0.066747
1.503407 0.069780
1.533267 0.073590
1.563126 0.078370
1.592986 0.084265
1.622846 0.091353
1.652705 0.099638
1.682565 0.109061
1.712425 0.119507
1.742285 0.130841
1.772144 0.142938
1.802004 0.155733
1.831864 0.169261
1.861723 0.183710
1.891583 0.199449
1.921443 0.217059
1.951303 0.237340
1.981162 0.261300
2.011022 0.290121
2.040882 0.325102
2.070741 0.367589
2.100601 0.418880
2.130461 0.480123
2.160321 0.552213
2.190180 0.635689
2.220040 0.730643
2.249900 0.836652
2.279760 0.952734
2.309619 1.077335
2.339479 1.208348
2.369339 1.343175
2.399198 1.478815
2.429058 1.611981
2.458918 1.739244
2.488778 1.857189
2.518637 1.962573
2.548497 2.052482
2.578357 2.124472
2.608216 2.176688
2.638076 2.207944
2.667936 2.217783
2.697796 2.206479
2.727655 2.175017
2.757515 2.125028
2.787375 2.058691
2.817234 1.978618
2.847094 1.887711
2.876954 1.789023
2.906814 1.685611
2.936673 1.580401
2.966533 1.476072
2.996393 1.374961
3.026253 1.278997
3.056112 1.189656
3.085972 1.107958
3.115832 1.034479
3.145691 0.969391
3.175551 0.912520
