# Time-averaged data for fix msd2_out
# TimeStep c_msd2[4]
241000 1.17908
242000 3.75974
243000 6.43515
244000 9.15761
245000 11.8983
246000 14.6627
247000 17.4389
248000 20.1735
249000 22.9945
250000 25.7674
251000 28.5591
252000 31.3585
253000 34.1432
254000 36.9685
255000 39.8406
256000 42.6773
257000 45.5111
258000 48.3499
259000 51.2197
260000 54.0505
261000 56.9393
262000 59.8231
263000 62.7062
264000 65.5389
265000 68.3738
266000 71.1786
267000 74.0258
268000 76.9791
269000 79.8933
270000 82.7541
271000 85.5036
272000 88.4268
273000 91.3197
274000 94.1994
275000 97.0237
276000 99.8527
277000 102.645
278000 105.536
279000 108.355
280000 111.196
281000 114.094
282000 117.001
283000 119.871
284000 122.794
285000 125.555
286000 128.336
287000 131.118
288000 134.038
289000 136.905
290000 139.872
