# Time-averaged data for fix 5
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
110000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 0 0
29 2.28 0.000470017 0.00012963
30 2.36 0.00864856 0.00268519
31 2.44 0.084367 0.0293333
32 2.52 0.619684 0.238111
33 2.6 2.01038 0.959111
34 2.68 2.80859 2.02931
35 2.76 3.30236 3.36391
36 2.84 3.09548 4.68846
37 2.92 2.52495 5.83061
38 3 1.95945 6.76619
39 3.08 1.56123 7.55191
40 3.16 1.2761 8.22793
41 3.24 1.06805 8.82274
42 3.32 0.897243 9.34741
43 3.4 0.782383 9.82722
44 3.48 0.741235 10.3034
45 3.56 0.72945 10.7939
46 3.64 0.70617 11.2903
47 3.72 0.67557 11.7862
48 3.8 0.662389 12.2936
49 3.88 0.67612 12.8336
50 3.96 0.717751 13.4307
51 4.04 0.736745 14.0687
52 4.12 0.752215 14.746
53 4.2 0.773879 15.4702
54 4.28 0.791202 16.2391
55 4.36 0.818239 17.0643
56 4.44 0.840265 17.9431
57 4.52 0.872209 18.8884
58 4.6 0.902185 19.9011
59 4.68 0.930129 20.9819
60 4.76 0.953651 22.1281
61 4.84 0.9794 23.3453
62 4.92 1.00261 24.6328
63 5 1.03175 26.0011
64 5.08 1.06732 27.4623
65 5.16 1.11081 29.0313
66 5.24 1.15426 30.7126
67 5.32 1.18346 32.4895
68 5.4 1.20903 34.3598
69 5.48 1.20813 36.2845
70 5.56 1.19752 38.2484
71 5.64 1.16567 40.2154
72 5.72 1.13348 42.1828
73 5.8 1.09038 44.1287
74 5.88 1.05684 46.0671
75 5.96 1.02878 48.0058
76 6.04 1.0124 49.9651
77 6.12 0.990131 51.9324
78 6.2 0.979847 53.9306
79 6.28 0.974222 55.9688
80 6.36 0.97052 58.0514
81 6.44 0.964233 60.1729
82 6.52 0.927783 62.2652
83 6.6 0.917793 64.386
84 6.68 0.911596 66.544
85 6.76 0.916441 68.7656
86 6.84 0.90988 71.0239
87 6.92 0.903616 73.3194
88 7 0.900877 75.6612
89 7.08 0.903524 78.0638
90 7.16 0.913312 80.5476
91 7.24 0.925099 83.1201
92 7.32 0.934957 85.7777
93 7.4 0.954343 88.5501
94 7.48 0.966769 91.4196
95 7.56 0.98999 94.4212
96 7.64 1.01418 97.5616
97 7.72 1.0358 100.836
98 7.8 1.06007 104.258
99 7.88 1.07829 107.81
100 7.96 1.10228 111.515
115000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 0 0
29 2.28 0.000738599 0.000203704
30 2.36 0.00827253 0.00264815
31 2.44 0.0804388 0.0280556
32 2.52 0.619575 0.236796
33 2.6 2.00279 0.955074
34 2.68 2.80082 2.02231
35 2.76 3.29136 3.35246
36 2.84 3.11717 4.6863
37 2.92 2.5254 5.82865
38 3 1.9655 6.76711
39 3.08 1.56528 7.55487
40 3.16 1.27705 8.23139
41 3.24 1.06889 8.82667
42 3.32 0.900157 9.35304
43 3.4 0.780511 9.8317
44 3.48 0.737718 10.3057
45 3.56 0.725456 10.7934
46 3.64 0.704537 11.2886
47 3.72 0.67721 11.7858
48 3.8 0.663888 12.2944
49 3.88 0.683726 12.8404
50 3.96 0.713655 13.4341
51 4.04 0.740231 14.0751
52 4.12 0.755032 14.755
53 4.2 0.765963 15.4718
54 4.28 0.795261 16.2446
55 4.36 0.808562 17.06
56 4.44 0.83752 17.9359
57 4.52 0.865853 18.8744
58 4.6 0.900931 19.8857
59 4.68 0.931946 20.9686
60 4.76 0.953205 22.1143
61 4.84 0.984511 23.3378
62 4.92 1.01079 24.6358
63 5 1.03332 26.0062
64 5.08 1.0637 27.4625
65 5.16 1.109 29.0289
66 5.24 1.14463 30.6962
67 5.32 1.18613 32.4771
68 5.4 1.21278 34.3532
69 5.48 1.21221 36.2844
70 5.56 1.19453 38.2434
71 5.64 1.16812 40.2146
72 5.72 1.13901 42.1915
73 5.8 1.09418 44.1442
74 5.88 1.06402 46.0958
75 5.96 1.02665 48.0304
76 6.04 1.00654 49.9784
