# Time-averaged data for fix rdf3_out
# TimeStep Number-of-rows
# Row c_rdf3[1] c_rdf3[2] c_rdf3[3]
370000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.00916763 0.00201852
28 2.2 0.0656835 0.0175926
29 2.28 0.179103 0.0632037
30 2.36 0.401528 0.172759
31 2.44 0.772853 0.398167
32 2.52 1.35931 0.821037
33 2.6 1.93676 1.46241
34 2.68 2.10113 2.20169
35 2.76 2.14174 3.00091
36 2.84 2.06248 3.81581
37 2.92 1.88541 4.60331
38 3 1.66834 5.33885
39 3.08 1.5133 6.04209
40 3.16 1.36519 6.70989
41 3.24 1.25572 7.35563
42 3.32 1.13084 7.96622
43 3.4 1.03865 8.55439
44 3.48 0.980835 9.13626
45 3.56 0.916877 9.70548
46 3.64 0.883753 10.2791
47 3.72 0.84943 10.8549
48 3.8 0.816791 11.4326
49 3.88 0.800659 12.0231
50 3.96 0.802942 12.6399
51 4.04 0.801013 13.2803
52 4.12 0.80003 13.9455
53 4.2 0.807348 14.6432
54 4.28 0.812492 15.3722
55 4.36 0.828869 16.1441
56 4.44 0.850031 16.9649
57 4.52 0.869281 17.8349
58 4.6 0.885403 18.7526
59 4.68 0.910884 19.7299
60 4.76 0.94568 20.7795
61 4.84 0.97024 21.8929
62 4.92 0.998963 23.0774
63 5 1.02054 24.3271
64 5.08 1.04313 25.6458
65 5.16 1.06233 27.0313
66 5.24 1.08023 28.4842
67 5.32 1.08759 29.9921
68 5.4 1.09333 31.5538
69 5.48 1.09425 33.1634
70 5.56 1.09422 34.8204
71 5.64 1.08306 36.508
72 5.72 1.08615 38.2488
73 5.8 1.07001 40.012
74 5.88 1.05988 41.807
75 5.96 1.04839 43.6312
76 6.04 1.04258 45.4943
77 6.12 1.03238 47.3884
78 6.2 1.01951 49.3081
79 6.28 1.00224 51.2443
80 6.36 0.996124 53.2181
81 6.44 0.986525 55.2222
82 6.52 0.971126 57.2445
83 6.6 0.96439 59.3022
84 6.68 0.954036 61.3876
85 6.76 0.950352 63.5149
86 6.84 0.950772 65.6939
87 6.92 0.943443 67.9069
88 7 0.946637 70.179
89 7.08 0.949574 72.5106
90 7.16 0.951113 74.8991
91 7.24 0.956297 77.3545
92 7.32 0.967816 79.8947
93 7.4 0.97321 82.5052
94 7.48 0.986735 85.2096
95 7.56 0.986917 87.9726
96 7.64 1.00423 90.8438
97 7.72 1.01309 93.8014
98 7.8 1.01634 96.8303
99 7.88 1.02275 99.9412
100 7.96 1.03106 103.141
370100 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.0109339 0.00240741
28 2.2 0.0585763 0.0162963
29 2.28 0.182667 0.0628148
30 2.36 0.401528 0.17237
31 2.44 0.772345 0.39763
32 2.52 1.36657 0.822759
33 2.6 1.93877 1.4648
34 2.68 2.09818 2.20304
35 2.76 2.1397 3.0015
36 2.84 2.06019 3.8155
37 2.92 1.88873 4.60439
38 3 1.68031 5.3452
39 3.08 1.5084 6.04617
40 3.16 1.36383 6.7133
41 3.24 1.24917 7.35567
42 3.32 1.13249 7.96715
43 3.4 1.03028 8.55057
44 3.48 0.972719 9.12763
45 3.56 0.927108 9.7032
46 3.64 0.891228 10.2816
47 3.72 0.846152 10.8552
48 3.8 0.816268 11.4326
49 3.88 0.803974 12.0255
50 3.96 0.803014 12.6424
51 4.04 0.800735 13.2826
52 4.12 0.796979 13.9453
53 4.2 0.802955 14.6391
54 4.28 0.819591 15.3745
55 4.36 0.827835 16.1454
56 4.44 0.845141 16.9615
57 4.52 0.862619 17.8248
58 4.6 0.890119 18.7475
59 4.68 0.918065 19.7324
60 4.76 0.941192 20.7771
61 4.84 0.971193 21.8915
62 4.92 0.998557 23.0755
63 5 1.01638 24.3202
64 5.08 1.04417 25.6402
65 5.16 1.05797 27.02
66 5.24 1.07988 28.4725
67 5.32 1.0864 29.9786
68 5.4 1.09262 31.5393
69 5.48 1.09907 33.1561
70 5.56 1.09698 34.8172
71 5.64 1.08541 36.5085
72 5.72 1.09033 38.256
73 5.8 1.06895 40.0174
74 5.88 1.06684 41.8242
