# Step Temp Press PE KE TotEng Vol Density
110000 293.91084998698676145 163.62430047562861546 -301015.5959290957544 4102.9855903711586507 -296912.61033872456755 2045255.3085077048745 6.1136609735998854731
110001 293.90022272625463984 66.268575914765918355 -301015.3433369815466 4102.8372341684153071 -296912.50610281311674 2045255.3085077048745 6.1136609735998854731
110002 293.88690684909073525 137.93630966186881892 -301015.10307386703789 4102.6513449706226311 -296912.45172889641253 2045255.3085077048745 6.1136609735998854731
110003 293.87990376848591723 83.76776383150487959 -301014.85066643310711 4102.5535822006841045 -296912.29708423244301 2045255.3085077048745 6.1136609735998854731
110004 293.87853566819171647 176.63024307267701829 -301014.58054339530645 4102.5344835665455321 -296912.04605982877547 2045255.3085077048745 6.1136609735998854731
110005 293.86626064891754595 165.13479213044701055 -301014.27052705024835 4102.3631247099210668 -296911.90740234032273 2045255.3085077048745 6.1136609735998854731
110006 293.8489167674402438 141.08584121805463951 -301013.9407110454049 4102.1210047072545422 -296911.81970633816672 2045255.3085077048745 6.1136609735998854731
110007 293.83614705509108944 125.23917212658737697 -301013.58854954154231 4101.9427399519245228 -296911.64580958959414 2045255.3085077048745 6.1136609735998854731
110008 293.81915427453583334 159.83488637414978939 -301013.27715696743689 4101.7055213063331394 -296911.57163566112285 2045255.3085077048745 6.1136609735998854731
110009 293.79339863707843961 148.78505030279237076 -301012.92542571865488 4101.3459734728212425 -296911.57945224584546 2045255.3085077048745 6.1136609735998854731
110010 293.76670929412921396 217.47445560508927542 -301012.55888296879129 4100.9733911420153163 -296911.58549182675779 2045255.3085077048745 6.1136609735998854731
110011 293.74395192001952637 82.824611206221348425 -301012.17117974476423 4100.6556989640948814 -296911.51548078068299 2045255.3085077048745 6.1136609735998854731
110012 293.72314185864109959 98.32594611021264086 -301011.73080801405013 4100.3651912064733551 -296911.36561680759769 2045255.3085077048745 6.1136609735998854731
110013 293.70227932914815483 160.82817447925609144 -301011.3338923259289 4100.0739509957356859 -296911.25994133017957 2045255.3085077048745 6.1136609735998854731
110014 293.67670139553877107 113.79096851002199742 -301010.92663554981118 4099.7168839019714142 -296911.20975164783886 2045255.3085077048745 6.1136609735998854731
110015 293.64810736158199234 119.17075004837529661 -301010.52296528109582 4099.3177121486987744 -296911.20525313238613 2045255.3085077048745 6.1136609735998854731
110016 293.62410283610893202 58.167697448579978925 -301010.1239579350804 4098.9826097796503745 -296911.14134815544821 2045255.3085077048745 6.1136609735998854731
110017 293.59878706858455644 150.47523144391035999 -301009.76188390597235 4098.6292025156235468 -296911.1326813903288 2045255.3085077048745 6.1136609735998854731
110018 293.56963572085720671 125.47680299557366368 -301009.37233887281036 4098.2222506808384423 -296911.15008819196373 2045255.3085077048745 6.1136609735998854731
110019 293.53638184295419933 103.33851614954814124 -301008.99196624255273 4097.7580276626476916 -296911.23393857991323 2045255.3085077048745 6.1136609735998854731
110020 293.50398494671827621 118.69654579105733205 -301008.54280812095385 4097.305768079734662 -296911.23704004124738 2045255.3085077048745 6.1136609735998854731
110021 293.47684526136913519 90.522338620220665462 -301008.03967878193362 4096.9268989841584698 -296911.11277979775332 2045255.3085077048745 6.1136609735998854731
110022 293.44713225561531544 166.1877806930335737 -301007.60603804962011 4096.5121064221966662 -296911.09393162740162 2045255.3085077048745 6.1136609735998854731
110023 293.4189659842102742 127.74259090119188897 -301007.22077891090885 4096.1189062197727253 -296911.10187269112794 2045255.3085077048745 6.1136609735998854731
110024 293.39096483562866524 162.93937969899479867 -301006.79841786454199 4095.728011126416277 -296911.07040673814481 2045255.3085077048745 6.1136609735998854731
110025 293.36302661097909095 106.39368550999002139 -301006.38256620086031 4095.3379944490366142 -296911.04457175184507 2045255.3085077048745 6.1136609735998854731
110026 293.3442283947996998 96.433278979796924091 -301006.06343828694662 4095.0755719827948269 -296910.98786630417453 2045255.3085077048745 6.1136609735998854731
110027 293.32653203359603822 34.836179765825875165 -301005.75351118302206 4094.8285313749920533 -296910.92497980804183 2045255.3085077048745 6.1136609735998854731
110028 293.30551208095948823 79.856349715580194015 -301005.40429672558093 4094.5350935424594354 -296910.86920318310149 2045255.3085077048745 6.1136609735998854731
110029 293.28356699708768929 174.17958912460187548 -301005.1131542865769 4094.228740908967211 -296910.88441337761469 2045255.3085077048745 6.1136609735998854731
110030 293.26734115562777561 151.63791770473920906 -301004.8319899479975 4094.0022287073770713 -296910.82976124063134 2045255.3085077048745 6.1136609735998854731
110031 293.25193932031589839 144.00456741918378611 -301004.57051187986508 4093.7872196039274968 -296910.78329227591166 2045255.3085077048745 6.1136609735998854731
110032 293.23040480738325186 197.77016372519659626 -301004.30878701864276 4093.4865985269502744 -296910.82218849170022 2045255.3085077048745 6.1136609735998854731
110033 293.21413454038895452 124.4560443658843667 -301004.09983742272016 4093.2594661463931516 -296910.84037127631018 2045255.3085077048745 6.1136609735998854731
110034 293.20169128669618885 184.88030775528775962 -301003.86799386772327 4093.085758742937287 -296910.78223512478871 2045255.3085077048745 6.1136609735998854731
110035 293.1849730300190231 118.77385700850474848 -301003.68488873797469 4092.8523724414599201 -296910.83251629653387 2045255.3085077048745 6.1136609735998854731
110036 293.17758800529668406 95.353769054225423929 -301003.56971467821859 4092.7492777444740568 -296910.82043693371816 2045255.3085077048745 6.1136609735998854731
110037 293.17544558184744119 126.44207268214579187 -301003.50098632386653 4092.7193695851083248 -296910.78161673876457 2045255.3085077048745 6.1136609735998854731
110038 293.17109975104341402 160.72624259104713929 -301003.38690975820646 4092.6587019331045667 -296910.72820782510098 2045255.3085077048745 6.1136609735998854731
110039 293.17488057693600467 204.13824925536394517 -301003.34042700909777 4092.7114821355289678 -296910.62894487357698 2045255.3085077048745 6.1136609735998854731
110040 293.17597909054859429 145.3001502118686119 -301003.24910908530001 4092.7268173486504566 -296910.52229173667729 2045255.3085077048745 6.1136609735998854731
110041 293.17554338339596143 196.36787607881888107 -301003.16898538661189 4092.7207348914394061 -296910.4482504951884 2045255.3085077048745 6.1136609735998854731
110042 293.17607898424222412 190.92189157015468481 -301003.07863696105778 4092.728211861257023 -296910.35042509977939 2045255.3085077048745 6.1136609735998854731
110043 293.17357815579595126 211.84469594016294991 -301003.00872048374731 4092.6933003801755149 -296910.31542010355042 2045255.3085077048745 6.1136609735998854731
