# Time-averaged data for fix rdf2_out
# TimeStep Number-of-rows
# Row c_rdf2[1] c_rdf2[2] c_rdf2[3]
240000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.000321781 7.40741e-05
28 2.2 0.00552792 0.00144444
29 2.28 0.0477822 0.0141667
30 2.36 0.150283 0.057037
31 2.44 0.449404 0.194074
32 2.52 1.19423 0.5825
33 2.6 2.11004 1.31306
34 2.68 2.45775 2.21717
35 2.76 2.57143 3.22041
36 2.84 2.43493 4.22626
37 2.92 2.1338 5.15807
38 3 1.8102 5.99248
39 3.08 1.54931 6.74522
40 3.16 1.35642 7.43893
41 3.24 1.19696 8.08246
42 3.32 1.06715 8.68489
43 3.4 0.94974 9.24719
44 3.48 0.885319 9.7963
45 3.56 0.84672 10.3459
46 3.64 0.805382 10.8924
47 3.72 0.764322 11.4341
48 3.8 0.732455 11.9758
49 3.88 0.736117 12.5434
50 3.96 0.748688 13.1446
51 4.04 0.750103 13.7717
52 4.12 0.759216 14.4317
53 4.2 0.76595 15.1237
54 4.28 0.794275 15.8688
55 4.36 0.803095 16.6507
56 4.44 0.824838 17.4835
57 4.52 0.857738 18.381
58 4.6 0.879548 19.3341
59 4.68 0.916135 20.3618
60 4.76 0.95009 21.4643
61 4.84 0.977921 22.6375
62 4.92 1.0142 23.8948
63 5 1.04437 25.232
64 5.08 1.08127 26.6611
65 5.16 1.10591 28.1691
66 5.24 1.12616 29.7527
67 5.32 1.1441 31.4111
68 5.4 1.14533 33.1215
69 5.48 1.14522 34.8829
70 5.56 1.13904 36.6862
71 5.64 1.11997 38.5107
72 5.72 1.11124 40.3728
73 5.8 1.08309 42.2388
74 5.88 1.06804 44.1299
75 5.96 1.04435 46.0298
76 6.04 1.03038 47.955
77 6.12 1.00832 49.8891
78 6.2 0.994554 51.8471
79 6.28 0.981681 53.8299
80 6.36 0.977218 55.8542
81 6.44 0.965218 57.9044
82 6.52 0.942145 59.9556
83 6.6 0.929911 62.0301
84 6.68 0.931101 64.1579
85 6.76 0.927995 66.3297
86 6.84 0.92562 68.5476
87 6.92 0.924428 70.8147
88 7 0.928332 73.1443
89 7.08 0.932251 75.5376
90 7.16 0.93881 78.0024
91 7.24 0.950724 80.5546
92 7.32 0.960708 83.191
93 7.4 0.969551 85.9101
94 7.48 0.986129 88.7357
95 7.56 1.00021 91.6634
96 7.64 1.01544 94.6989
97 7.72 1.02787 97.8362
98 7.8 1.0392 101.074
99 7.88 1.05335 104.424
100 7.96 1.05615 107.851
240100 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.000402226 9.25926e-05
28 2.2 0.00761957 0.00198148
29 2.28 0.0412443 0.012963
30 2.36 0.149698 0.0556667
31 2.44 0.457602 0.195204
32 2.52 1.19269 0.58313
33 2.6 2.12501 1.31887
34 2.68 2.43278 2.2138
35 2.76 2.57731 3.21933
36 2.84 2.43802 4.22646
37 2.92 2.12791 5.1557
38 3 1.82041 5.99481
39 3.08 1.55399 6.74983
40 3.16 1.36243 7.44661
41 3.24 1.19344 8.08826
42 3.32 1.05629 8.68456
43 3.4 0.948364 9.24604
44 3.48 0.886693 9.796
45 3.56 0.839673 10.341
46 3.64 0.809285 10.8902
47 3.72 0.763251 11.4311
48 3.8 0.737839 11.9768
49 3.88 0.733835 12.5426
50 3.96 0.743823 13.14
51 4.04 0.753625 13.7699
52 4.12 0.755126 14.4264
53 4.2 0.76802 15.1203
54 4.28 0.788846 15.8603
55 4.36 0.806557 16.6456
56 4.44 0.831258 17.4848
57 4.52 0.857083 18.3816
58 4.6 0.889596 19.3457
59 4.68 0.918479 20.376
60 4.76 0.947265 21.4752
61 4.84 0.97735 22.6477
62 4.92 1.00949 23.8992
63 5 1.03654 25.2264
64 5.08 1.0889 26.6655
65 5.16 1.10007 28.1656
66 5.24 1.1242 29.7464
67 5.32 1.14518 31.4064
68 5.4 1.14545 33.117
69 5.48 1.14905 34.8842
70 5.56 1.13366 36.6791
71 5.64 1.12552 38.5126
72 5.72 1.10392 40.3624
73 5.8 1.08245 42.2273
74 5.88 1.07172 44.125
