# Time-averaged data for fix msd3_out
# TimeStep c_msd3[4]
371000 2.29675
372000 7.82073
373000 13.6553
374000 19.5968
375000 25.5754
376000 31.6405
377000 37.7396
378000 43.8063
379000 49.8219
380000 55.8362
381000 62.0765
382000 68.2206
383000 74.3095
384000 80.4516
385000 86.6975
386000 92.8999
387000 99.1114
388000 105.317
389000 111.559
390000 117.747
391000 123.931
392000 130.058
393000 136.261
394000 142.488
395000 148.63
396000 154.845
397000 160.812
398000 166.813
399000 172.781
400000 178.866
401000 185.067
402000 191.286
403000 197.464
404000 203.755
405000 210.197
406000 216.615
407000 222.862
408000 229.057
409000 235.433
410000 241.682
411000 247.847
412000 253.954
413000 259.992
414000 266.199
415000 272.409
416000 278.697
417000 285.076
418000 291.298
419000 297.558
420000 303.78
