sig12,ga1_frac,r_factor,rmse,rmse_shoulder
1.17,0.45,0.058037,0.071499,0.025940
1.12,0.45,0.059152,0.077339,0.079864
1.13,0.50,0.059802,0.076015,0.082416
1.13,0.48,0.060003,0.079403,0.085127
1.17,0.48,0.060424,0.077529,0.075111
1.18,0.48,0.060621,0.076634,0.077147
1.15,0.45,0.062007,0.076539,0.071201
1.18,0.45,0.063055,0.087850,0.061375
1.12,0.48,0.063169,0.082022,0.098692
1.14,0.48,0.064124,0.083721,0.096794
1.13,0.45,0.064938,0.087648,0.090676
1.17,0.50,0.065162,0.090461,0.101039
1.16,0.48,0.065204,0.084143,0.096929
1.16,0.50,0.065764,0.082814,0.095485
1.14,0.45,0.066611,0.091480,0.098489
1.16,0.45,0.067522,0.100263,0.082842
1.15,0.48,0.068381,0.101591,0.102115
1.14,0.50,0.068491,0.082978,0.097735
1.18,0.52,0.069672,0.097024,0.117462
1.15,0.50,0.069699,0.099469,0.119261
1.12,0.52,0.073719,0.111123,0.138008
1.12,0.50,0.074032,0.118409,0.133351
1.15,0.55,0.074612,0.108843,0.116974
1.14,0.52,0.074827,0.111871,0.139872
1.18,0.55,0.076615,0.117606,0.138207
1.13,0.52,0.078101,0.123568,0.154842
1.17,0.52,0.078151,0.119892,0.152044
1.16,0.52,0.078343,0.115514,0.147096
1.15,0.52,0.079414,0.095960,0.077138
1.13,0.55,0.081900,0.130687,0.155646
1.12,0.55,0.082968,0.133158,0.158198
1.14,0.55,0.086167,0.130117,0.150766
1.18,0.50,0.087763,0.149825,0.148797
1.17,0.55,0.089333,0.129934,0.152881
1.16,0.55,0.095562,0.137495,0.148187
