# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
51000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 0.00190758 0.0004
40 2.37 0.04893 0.0112
41 2.43 0.223237 0.063
42 2.49 0.740438 0.2434
43 2.55 1.4441 0.6124
44 2.61 2.18389 1.197
45 2.67 2.58874 1.9222
46 2.73 2.79922 2.742
47 2.79 2.85862 3.6164
48 2.85 2.77149 4.501
49 2.91 2.51473 5.3378
50 2.97 2.16086 6.0868
51 3.03 1.94973 6.7902
52 3.09 1.71057 7.432
53 3.15 1.44803 7.9966
54 3.21 1.30105 8.5234
55 3.27 1.14522 9.0046
56 3.33 1.03089 9.4538
57 3.39 0.912343 9.8658
58 3.45 0.787239 10.234
59 3.51 0.76386 10.6038
60 3.57 0.672907 10.9408
61 3.63 0.647756 11.2762
62 3.69 0.626489 11.6114
63 3.75 0.603707 11.945
64 3.81 0.587998 12.2804
65 3.87 0.571946 12.617
66 3.93 0.572411 12.9644
67 3.99 0.589534 13.3332
68 4.05 0.59671 13.7178
69 4.11 0.624009 14.132
70 4.17 0.613791 14.5514
71 4.23 0.669323 15.022
72 4.29 0.673962 15.5094
73 4.35 0.741572 16.0608
74 4.41 0.768115 16.6478
75 4.47 0.80189 17.2774
76 4.53 0.862142 17.9726
77 4.59 0.896764 18.715
78 4.65 0.952627 19.5244
79 4.71 1.00032 20.3964
80 4.77 1.06949 21.3526
81 4.83 1.07756 22.3404
82 4.89 1.14536 23.4166
83 4.95 1.19067 24.563
84 5.01 1.24344 25.7894
85 5.07 1.22626 27.028
86 5.13 1.28419 28.356
87 5.19 1.28018 29.711
88 5.25 1.27325 31.09
89 5.31 1.29698 32.527
90 5.37 1.31229 34.014
91 5.43 1.25134 35.4638
92 5.49 1.23883 36.931
93 5.55 1.19848 38.3816
94 5.61 1.16554 39.823
95 5.67 1.13688 41.2592
96 5.73 1.07181 42.642
97 5.79 1.06186 44.0408
98 5.85 1.00271 45.3892
99 5.91 0.95768 46.7036
100 5.97 0.939242 48.019
101 6.03 0.908885 49.3176
102 6.09 0.893672 50.62
103 6.15 0.854519 51.89
104 6.21 0.838615 53.1608
105 6.27 0.844004 54.4646
106 6.33 0.828588 55.7692
107 6.39 0.83479 57.1086
108 6.45 0.831321 58.4676
109 6.51 0.84285 59.8712
110 6.57 0.831417 61.2814
111 6.63 0.850016 62.7496
112 6.69 0.869409 64.2786
113 6.75 0.886417 65.8656
114 6.81 0.905218 67.5152
115 6.87 0.920211 69.2218
116 6.93 0.956489 71.0268
117 6.99 0.993474 72.9342
118 7.05 0.997629 74.8826
119 7.11 1.02496 76.9186
120 7.17 1.03402 79.0074
121 7.23 1.05062 81.1654
122 7.29 1.07611 83.4126
123 7.35 1.08518 85.7162
124 7.41 1.08928 88.0664
125 7.47 1.09529 90.468
126 7.53 1.10277 92.925
127 7.59 1.115 95.449
128 7.65 1.09967 97.9778
129 7.71 1.12577 100.607
130 7.77 1.09943 103.216
131 7.83 1.08315 105.825
132 7.89 1.08202 108.472
133 7.95 1.07783 111.149
134 8.01 1.06071 113.823
135 8.07 1.03414 116.469
136 8.13 1.02355 119.128
137 8.19 1.0212 121.819
138 8.25 1.00596 124.51
139 8.31 0.994209 127.207
140 8.37 0.98313 129.914
141 8.43 0.964028 132.606
142 8.49 0.959419 135.323
143 8.55 0.952754 138.06
144 8.61 0.941169 140.802
145 8.67 0.940105 143.578
146 8.73 0.918879 146.33
