# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3] c_myrdf[4] c_myrdf[5] c_myrdf[6] c_myrdf[7]
20000 200
1 0.03 0 0 0 0 0 0
2 0.09 0 0 0 0 0 0
3 0.15 0 0 0 0 0 0
4 0.21 0 0 0 0 0 0
5 0.27 0 0 0 0 0 0
6 0.33 0 0 0 0 0 0
7 0.39 0 0 0 0 0 0
8 0.45 0 0 0 0 0 0
9 0.51 0 0 0 0 0 0
10 0.57 0 0 0 0 0 0
11 0.63 0 0 0 0 0 0
12 0.69 0 0 0 0 0 0
13 0.75 0 0 0 0 0 0
14 0.81 0 0 0 0 0 0
15 0.87 0 0 0 0 0 0
16 0.93 0 0 0 0 0 0
17 0.99 0 0 0 0 0 0
18 1.05 0 0 0 0 0 0
19 1.11 0 0 0 0 0 0
20 1.17 0 0 0 0 0 0
21 1.23 0 0 0 0 0 0
22 1.29 0 0 0 0 0 0
23 1.35 0 0 0 0 0 0
24 1.41 0 0 0 0 0 0
25 1.47 0 0 0 0 0 0
26 1.53 0 0 0 0 0 0
27 1.59 0 0 0 0 0 0
28 1.65 0 0 0 0 0 0
29 1.71 0 0 0 0 0 0
30 1.77 0 0 0 0 0 0
31 1.83 0 0 0 0 0 0
32 1.89 0 0 0 0 0 0
33 1.95 0 0 0 0 0 0
34 2.01 0 0 0 0 0 0
35 2.07 0 0 0 0 0 0
36 2.13 0 0 0 0 0 0
37 2.19 0 0 0 0 0 0
38 2.25 0 0 0 0 0 0
39 2.31 0 0 0 0 0 0
40 2.37 0.00725616 0.0008 0.0145123 0.0016 0.0108625 0.0012
41 2.43 0.0931807 0.0116 0.0690227 0.0096 0.0637183 0.0086
42 2.49 0.315536 0.05 0.315536 0.048 0.288662 0.0438
43 2.55 0.877515 0.162 0.993472 0.1748 0.882015 0.1566
44 2.61 1.74707 0.3956 1.81288 0.4172 1.6555 0.3784
45 2.67 2.57275 0.7556 2.46699 0.7624 2.5134 0.7308
46 2.73 2.95036 1.1872 3.05153 1.2088 2.97857 1.1674
47 2.79 3.11282 1.6628 3.17827 1.6944 3.07262 1.6378
48 2.85 3.24156 2.1796 3.16378 2.1988 3.04352 2.124
49 2.91 2.85176 2.6536 2.77716 2.6604 2.86528 2.6012
50 2.97 2.5113 3.0884 2.58523 3.108 2.53625 3.0412
51 3.03 2.3196 3.5064 2.28187 3.5192 2.16875 3.4328
52 3.09 1.93799 3.8696 1.80353 3.8572 1.83613 3.7776
53 3.15 1.54858 4.1712 1.63895 4.1764 1.61927 4.0936
54 3.21 1.47541 4.4696 1.32312 4.444 1.36982 4.3712
55 3.27 1.19878 4.7212 1.1721 4.69 1.19353 4.6222
56 3.33 1.04754 4.9492 1.0163 4.9112 0.996843 4.8396
57 3.39 0.883111 5.1484 0.920351 5.1188 0.906122 5.0444
58 3.45 0.912588 5.3616 0.81157 5.3084 0.780044 5.227
59 3.51 0.764212 5.5464 0.681505 5.4732 0.776716 5.4152
60 3.57 0.591632 5.6944 0.676379 5.6424 0.675027 5.5844
61 3.63 0.579969 5.8444 0.646472 5.8096 0.615853 5.744
62 3.69 0.553779 5.9924 0.579222 5.9644 0.575823 5.8982
63 3.75 0.539098 6.1412 0.5362 6.1124 0.555375 6.0518
64 3.81 0.495579 6.2824 0.487155 6.2512 0.502994 6.1954
65 3.87 0.451756 6.4152 0.507545 6.4004 0.535727 6.3532
66 3.93 0.460499 6.5548 0.476333 6.5448 0.467479 6.4952
67 3.99 0.481316 6.7052 0.476196 6.6936 0.511015 6.6552
68 4.05 0.473373 6.8576 0.516859 6.86 0.505286 6.8182
69 4.11 0.505498 7.0252 0.529627 7.0356 0.531578 6.9948
70 4.17 0.530903 7.2064 0.593018 7.238 0.560836 7.1866
71 4.23 0.579731 7.41 0.626428 7.458 0.609262 7.401
72 4.29 0.611243 7.6308 0.605707 7.6768 0.597865 7.6174
73 4.35 0.69035 7.8872 0.636501 7.9132 0.66586 7.8652
74 4.41 0.711513 8.1588 0.684268 8.1744 0.700155 8.133
75 4.47 0.727218 8.444 0.766996 8.4752 0.770551 8.4358
76 4.53 0.792496 8.7632 0.828247 8.8088 0.835015 8.7728
77 4.59 0.893793 9.1328 0.84833 9.1596 0.879456 9.1372
78 4.65 0.983978 9.5504 0.985863 9.578 0.99706 9.5612
79 4.71 0.982034 9.978 0.996733 10.012 1.07771 10.0314
80 4.77 1.09184 10.4656 1.02466 10.4696 1.13211 10.538
81 4.83 1.12516 10.9808 1.14001 10.9916 1.19396 11.0858
82 4.89 1.16249 11.5264 1.22641 11.5672 1.19503 11.6478
83 4.95 1.22513 12.1156 1.20684 12.1476 1.2231 12.2372
84 5.01 1.20003 12.7068 1.27472 12.7756 1.30661 12.8822
85 5.07 1.30578 13.3656 1.24869 13.4056 1.28813 13.5334
86 5.13 1.3211 14.048 1.28238 14.068 1.26784 14.1896
87 5.19 1.34672 14.76 1.33386 14.7732 1.28513 14.8704
88 5.25 1.33977 15.4848 1.32203 15.4884 1.34927 15.6018
89 5.31 1.30027 16.2044 1.2916 16.2032 1.31751 16.3324
90 5.37 1.35477 16.9712 1.31519 16.9476 1.31468 17.078
91 5.43 1.3637 17.7604 1.28836 17.6932 1.30855 17.8368
92 5.49 1.29078 18.524 1.23263 18.4224 1.27403 18.592
93 5.55 1.27957 19.2976 1.21274 19.1556 1.2397 19.343
94 5.61 1.22709 20.0556 1.24198 19.9228 1.23627 20.1082
95 5.67 1.17336 20.796 1.16449 20.6576 1.17481 20.851
96 5.73 1.1663 21.5476 1.17499 21.4148 1.0983 21.5602
97 5.79 1.07599 22.2556 1.05654 22.11 1.09568 22.2826
98 5.85 1.02009 22.9408 1.02426 22.798 1.05044 22.9896
99 5.91 1.02632 23.6444 0.987814 23.4752 0.967204 23.654
100 5.97 0.902873 24.276 0.971489 24.1548 0.966978 24.3318
101 6.03 0.910216 24.9256 0.919184 24.8108 0.908675 24.9816
102 6.09 0.824782 25.526 0.912151 25.4748 0.880714 25.624
103 6.15 0.793681 26.1152 0.858339 26.112 0.834575 26.2448
104 6.21 0.819638 26.7356 0.782646 26.7044 0.824064 26.8698
105 6.27 0.775514 27.334 0.797287 27.3196 0.791554 27.4818
106 6.33 0.757322 27.9296 0.773598 27.928 0.789816 28.1042
107 6.39 0.772115 28.5484 0.763131 28.5396 0.750398 28.7068
108 6.45 0.756348 29.166 0.768594 29.1672 0.766324 29.3338
109 6.51 0.804984 29.8356 0.749202 29.7904 0.76882 29.9746
110 6.57 0.748328 30.4696 0.784683 30.4552 0.778401 30.6354
111 6.63 0.740409 31.1084 0.796971 31.1428 0.784041 31.3132
112 6.69 0.790481 31.8028 0.836015 31.8772 0.79049 32.009
113 6.75 0.834638 32.5492 0.843136 32.6312 0.848592 32.7694
114 6.81 0.858226 33.3304 0.879759 33.432 0.857387 33.5514
115 6.87 0.90073 34.1648 0.872232 34.24 0.906255 34.3926
116 6.93 0.933153 35.0444 0.926363 35.1132 0.935733 35.2764
117 6.99 0.939308 35.9452 0.920956 35.9964 1.00611 36.2432
118 7.05 1.00744 36.928 1.00211 36.974 1.0087 37.2292
119 7.11 1.03687 37.9568 1.02559 37.9916 1.05411 38.2772
120 7.17 1.07152 39.038 1.04853 39.0496 1.08006 39.3692
121 7.23 1.04407 40.1092 1.06356 40.1408 1.08478 40.4844
122 7.29 1.09483 41.2512 1.07297 41.26 1.1334 41.669
123 7.35 1.1155 42.434 1.12229 42.45 1.13285 42.8726
124 7.41 1.16172 43.686 1.13797 43.6764 1.15995 44.1252
125 7.47 1.14131 44.936 1.11246 44.8948 1.14012 45.3764
126 7.53 1.16021 46.2272 1.16668 46.1932 1.18587 46.6988
127 7.59 1.16034 47.5392 1.14194 47.4844 1.15378 48.006
128 7.65 1.12027 48.826 1.13594 48.7892 1.15817 49.339
129 7.71 1.1341 50.1492 1.1533 50.1348 1.1604 50.6956
130 7.77 1.1548 51.5176 1.13049 51.4744 1.12217 52.028
131 7.83 1.14581 52.8964 1.09894 52.7968 1.11897 53.3772
132 7.89 1.09047 54.2288 1.10226 54.1436 1.09744 54.7208
133 7.95 1.10342 55.5976 1.10148 55.51 1.08834 56.0736
