# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
51000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 0.00381517 0.0008
40 2.37 0.0607095 0.0142
41 2.43 0.238752 0.0696
42 2.49 0.740438 0.25
43 2.55 1.41358 0.6112
44 2.61 2.09871 1.173
45 2.67 2.5966 1.9004
46 2.73 2.86 2.738
47 2.79 2.87105 3.6162
48 2.85 2.72763 4.4868
49 2.91 2.48168 5.3126
50 2.97 2.19894 6.0748
51 3.03 1.97024 6.7856
52 3.09 1.68232 7.4168
53 3.15 1.52292 8.0106
54 3.21 1.2729 8.526
55 3.27 1.13903 9.0046
56 3.33 1.024 9.4508
57 3.39 0.914558 9.8638
58 3.45 0.860788 10.2664
59 3.51 0.758076 10.6334
60 3.57 0.727618 10.9978
61 3.63 0.667456 11.3434
62 3.69 0.630601 11.6808
63 3.75 0.579095 12.0008
64 3.81 0.594309 12.3398
65 3.87 0.56481 12.6722
66 3.93 0.536821 12.998
67 3.99 0.556285 13.346
68 4.05 0.552647 13.7022
69 4.11 0.591166 14.0946
70 4.17 0.604425 14.5076
71 4.23 0.653678 14.9672
72 4.29 0.692215 15.4678
73 4.35 0.725702 16.0074
74 4.41 0.78277 16.6056
75 4.47 0.78839 17.2246
76 4.53 0.881488 17.9354
77 4.59 0.903528 18.6834
78 4.65 0.935679 19.4784
79 4.71 1.02786 20.3744
80 4.77 1.0677 21.329
81 4.83 1.10679 22.3436
82 4.89 1.1709 23.4438
83 4.95 1.17364 24.5738
84 5.01 1.21059 25.7678
85 5.07 1.2518 27.0322
86 5.13 1.26389 28.3392
87 5.19 1.29057 29.7052
88 5.25 1.29227 31.1048
89 5.31 1.29175 32.536
90 5.37 1.28564 33.9928
91 5.43 1.27154 35.466
92 5.49 1.23478 36.9284
93 5.55 1.21599 38.4002
94 5.61 1.16877 39.8456
95 5.67 1.13894 41.2844
96 5.73 1.06778 42.662
97 5.79 1.03134 44.0206
98 5.85 1.02888 45.4042
99 5.91 0.982162 46.7522
100 5.97 0.960377 48.0972
101 6.03 0.899506 49.3824
102 6.09 0.897652 50.6906
103 6.15 0.867034 51.9792
104 6.21 0.836107 53.2462
105 6.27 0.830021 54.5284
106 6.33 0.821728 55.8222
107 6.39 0.809984 57.1218
108 6.45 0.818352 58.4596
109 6.51 0.833962 59.8484
110 6.57 0.833657 61.2624
111 6.63 0.85071 62.7318
112 6.69 0.874072 64.269
113 6.75 0.89178 65.8656
114 6.81 0.907304 67.519
115 6.87 0.918593 69.2226
116 6.93 0.945572 71.007
117 6.99 0.960869 72.8518
118 7.05 0.99937 74.8036
119 7.11 1.02073 76.8312
120 7.17 1.03709 78.9262
121 7.23 1.05587 81.095
122 7.29 1.08664 83.3642
123 7.35 1.07359 85.6432
124 7.41 1.1118 88.042
125 7.47 1.0973 90.448
126 7.53 1.12234 92.9486
127 7.59 1.10263 95.4446
128 7.65 1.12637 98.0348
129 7.71 1.10086 100.606
130 7.77 1.09302 103.199
131 7.83 1.09452 105.836
132 7.89 1.08006 108.478
133 7.95 1.06575 111.125
134 8.01 1.05992 113.797
135 8.07 1.05274 116.491
136 8.13 1.02586 119.155
137 8.19 1.0162 121.834
138 8.25 1.01022 124.536
139 8.31 0.99782 127.243
140 8.37 0.993229 129.977
141 8.43 0.962739 132.666
142 8.49 0.952993 135.365
143 8.55 0.945235 138.08
144 8.61 0.95037 140.849
145 8.67 0.946944 143.646
